id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Badger State Manor,1000 Main Street,Friendship,Adams,WI,53001,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40001,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
163,Cheese Country Commons,1100 Wisconsin Avenue,Dodgeville,Iowa,WI,53163,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40163,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
164,Northwoods Care,1200 State Street,Dodgeville,Iowa,WI,53164,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40164,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
165,Dairyland Village,1300 Oak Street,Dodgeville,Iowa,WI,53165,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40165,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
166,Wisconsin Rapids Manor,1400 Maple Avenue,Dodgeville,Iowa,WI,53166,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40166,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
167,Great Lakes Commons,1500 Pine Street,Dodgeville,Iowa,WI,53167,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40167,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.iowa-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
168,Badger State Manor,1000 Main Street,Hurley,Iron,WI,53168,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40168,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
169,Cheese Country Commons,1100 Wisconsin Avenue,Hurley,Iron,WI,53169,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40169,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
170,Northwoods Care,1200 State Street,Hurley,Iron,WI,53170,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40170,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
171,Dairyland Village,1300 Oak Street,Hurley,Iron,WI,53171,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40171,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
172,Wisconsin Rapids Manor,1400 Maple Avenue,Hurley,Iron,WI,53172,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40172,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
173,Great Lakes Commons,1500 Pine Street,Hurley,Iron,WI,53173,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40173,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.iron-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
174,Badger State Manor,1000 Main Street,Black River Falls,Jackson,WI,53174,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40174,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
175,Cheese Country Commons,1100 Wisconsin Avenue,Black River Falls,Jackson,WI,53175,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40175,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
176,Northwoods Care,1200 State Street,Black River Falls,Jackson,WI,53176,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40176,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
177,Dairyland Village,1300 Oak Street,Black River Falls,Jackson,WI,53177,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40177,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
178,Wisconsin Rapids Manor,1400 Maple Avenue,Black River Falls,Jackson,WI,53178,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40178,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
179,Great Lakes Commons,1500 Pine Street,Black River Falls,Jackson,WI,53179,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40179,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.jackson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
180,Badger State Manor,1000 Main Street,Jefferson,Jefferson,WI,53180,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40180,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.953900000000004,-88.8465
181,Cheese Country Commons,1100 Wisconsin Avenue,Jefferson,Jefferson,WI,53181,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40181,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9639,-88.8365
182,Northwoods Care,1200 State Street,Jefferson,Jefferson,WI,53182,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40182,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9739,-88.8265
183,Dairyland Village,1300 Oak Street,Jefferson,Jefferson,WI,53183,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40183,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.9839,-88.8165
184,Wisconsin Rapids Manor,1400 Maple Avenue,Jefferson,Jefferson,WI,53184,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40184,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.993900000000004,-88.8065
185,Great Lakes Commons,1500 Pine Street,Jefferson,Jefferson,WI,53185,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40185,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.jefferson-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0039,-88.7965
186,Badger State Manor,1000 Main Street,Mauston,Juneau,WI,53186,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40186,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
187,Cheese Country Commons,1100 Wisconsin Avenue,Mauston,Juneau,WI,53187,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40187,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
188,Northwoods Care,1200 State Street,Mauston,Juneau,WI,53188,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40188,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
189,Dairyland Village,1300 Oak Street,Mauston,Juneau,WI,53189,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40189,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
190,Wisconsin Rapids Manor,1400 Maple Avenue,Mauston,Juneau,WI,53190,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40190,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
191,Great Lakes Commons,1500 Pine Street,Mauston,Juneau,WI,53191,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40191,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.juneau-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
192,Badger State Manor,1000 Main Street,Kenosha,Kenosha,WI,53192,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40192,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5347,-87.86120000000001
193,Cheese Country Commons,1100 Wisconsin Avenue,Kenosha,Kenosha,WI,53193,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40193,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5447,-87.8512
194,Northwoods Care,1200 State Street,Kenosha,Kenosha,WI,53194,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40194,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5547,-87.8412
195,Dairyland Village,1300 Oak Street,Kenosha,Kenosha,WI,53195,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40195,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.564699999999995,-87.83120000000001
196,Wisconsin Rapids Manor,1400 Maple Avenue,Kenosha,Kenosha,WI,53196,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40196,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5747,-87.8212
197,Great Lakes Commons,1500 Pine Street,Kenosha,Kenosha,WI,53197,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40197,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5847,-87.8112
198,Timber Ridge Care,1600 Cedar Avenue,Kenosha,Kenosha,WI,53198,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40198,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.594699999999996,-87.80120000000001
199,Prairie Creek Manor,1700 First Street,Kenosha,Kenosha,WI,53199,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40199,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.6047,-87.7912
200,Lakeside Village,1800 Second Street,Kenosha,Kenosha,WI,53200,(422) 508-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,WI-ALF-40200,Wisconsin Department of Health Services,2024-11-09,83,False,True,True,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.6147,-87.86120000000001
201,Brewers Ridge,1900 Third Street,Kenosha,Kenosha,WI,53201,(423) 509-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,WI-ALF-40201,Wisconsin Department of Health Services,2024-03-10,84,True,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.6247,-87.8512
202,Packers Commons,2000 Fourth Street,Kenosha,Kenosha,WI,53202,(424) 510-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,WI-ALF-40202,Wisconsin Department of Health Services,2024-04-11,85,False,True,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5347,-87.8412
203,Maple Ridge Manor,2100 Fifth Street,Kenosha,Kenosha,WI,53203,(425) 511-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,WI-ALF-40203,Wisconsin Department of Health Services,2024-05-12,86,False,False,False,https://www.kenosha-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,42.5447,-87.83120000000001
204,Badger State Manor,1000 Main Street,Kewaunee,Kewaunee,WI,53204,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40204,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
205,Cheese Country Commons,1100 Wisconsin Avenue,Kewaunee,Kewaunee,WI,53205,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40205,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
206,Northwoods Care,1200 State Street,Kewaunee,Kewaunee,WI,53206,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40206,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
207,Dairyland Village,1300 Oak Street,Kewaunee,Kewaunee,WI,53207,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40207,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
208,Wisconsin Rapids Manor,1400 Maple Avenue,Kewaunee,Kewaunee,WI,53208,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40208,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
209,Great Lakes Commons,1500 Pine Street,Kewaunee,Kewaunee,WI,53209,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40209,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.kewaunee-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
210,Badger State Manor,1000 Main Street,La Crosse,La Crosse,WI,53210,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40210,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.751400000000004,-91.13900000000001
211,Cheese Country Commons,1100 Wisconsin Avenue,La Crosse,La Crosse,WI,53211,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40211,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.7614,-91.129
212,Northwoods Care,1200 State Street,La Crosse,La Crosse,WI,53212,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40212,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.7714,-91.119
213,Dairyland Village,1300 Oak Street,La Crosse,La Crosse,WI,53213,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40213,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.7814,-91.10900000000001
214,Wisconsin Rapids Manor,1400 Maple Avenue,La Crosse,La Crosse,WI,53214,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40214,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.7914,-91.099
215,Great Lakes Commons,1500 Pine Street,La Crosse,La Crosse,WI,53215,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40215,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.8014,-91.089
216,Timber Ridge Care,1600 Cedar Avenue,La Crosse,La Crosse,WI,53216,(420) 506-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,WI-ALF-40216,Wisconsin Department of Health Services,2024-09-07,81,True,True,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.8114,-91.07900000000001
217,Prairie Creek Manor,1700 First Street,La Crosse,La Crosse,WI,53217,(421) 507-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,WI-ALF-40217,Wisconsin Department of Health Services,2024-10-08,82,False,False,False,https://www.lacrosse-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.821400000000004,-91.069
218,Badger State Manor,1000 Main Street,Darlington,Lafayette,WI,53218,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40218,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
219,Cheese Country Commons,1100 Wisconsin Avenue,Darlington,Lafayette,WI,53219,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40219,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
220,Northwoods Care,1200 State Street,Darlington,Lafayette,WI,53220,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40220,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
221,Dairyland Village,1300 Oak Street,Darlington,Lafayette,WI,53221,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40221,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
222,Wisconsin Rapids Manor,1400 Maple Avenue,Darlington,Lafayette,WI,53222,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40222,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
223,Great Lakes Commons,1500 Pine Street,Darlington,Lafayette,WI,53223,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40223,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.lafayette-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
224,Badger State Manor,1000 Main Street,Antigo,Langlade,WI,53224,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40224,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
225,Cheese Country Commons,1100 Wisconsin Avenue,Antigo,Langlade,WI,53225,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40225,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
226,Northwoods Care,1200 State Street,Antigo,Langlade,WI,53226,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40226,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
227,Dairyland Village,1300 Oak Street,Antigo,Langlade,WI,53227,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40227,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
228,Wisconsin Rapids Manor,1400 Maple Avenue,Antigo,Langlade,WI,53228,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40228,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
229,Great Lakes Commons,1500 Pine Street,Antigo,Langlade,WI,53229,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40229,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.langlade-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
230,Badger State Manor,1000 Main Street,Merrill,Lincoln,WI,53230,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40230,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0231,-89.44120000000001
231,Cheese Country Commons,1100 Wisconsin Avenue,Merrill,Lincoln,WI,53231,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40231,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0331,-89.4312
232,Northwoods Care,1200 State Street,Merrill,Lincoln,WI,53232,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40232,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.043099999999995,-89.4212
233,Dairyland Village,1300 Oak Street,Merrill,Lincoln,WI,53233,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40233,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.05309999999999,-89.41120000000001
234,Wisconsin Rapids Manor,1400 Maple Avenue,Merrill,Lincoln,WI,53234,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40234,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0631,-89.4012
235,Great Lakes Commons,1500 Pine Street,Merrill,Lincoln,WI,53235,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40235,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.lincoln-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,43.0731,-89.3912
236,Badger State Manor,1000 Main Street,Manitowoc,Manitowoc,WI,53236,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40236,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.039500000000004,-87.69730000000001
237,Cheese Country Commons,1100 Wisconsin Avenue,Manitowoc,Manitowoc,WI,53237,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40237,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.0495,-87.68730000000001
238,Northwoods Care,1200 State Street,Manitowoc,Manitowoc,WI,53238,(416) 502-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,WI-ALF-40238,Wisconsin Department of Health Services,2024-05-03,77,False,True,False,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.0595,-87.6773
239,Dairyland Village,1300 Oak Street,Manitowoc,Manitowoc,WI,53239,(417) 503-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,WI-ALF-40239,Wisconsin Department of Health Services,2024-06-04,78,True,False,False,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.0695,-87.66730000000001
240,Wisconsin Rapids Manor,1400 Maple Avenue,Manitowoc,Manitowoc,WI,53240,(418) 504-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,WI-ALF-40240,Wisconsin Department of Health Services,2024-07-05,79,False,True,True,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.0795,-87.6573
241,Great Lakes Commons,1500 Pine Street,Manitowoc,Manitowoc,WI,53241,(419) 505-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,WI-ALF-40241,Wisconsin Department of Health Services,2024-08-06,80,False,False,False,https://www.manitowoc-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.0895,-87.6473
242,Badger State Manor,1000 Main Street,Wausau,Marathon,WI,53242,(414) 500-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,WI-ALF-40242,Wisconsin Department of Health Services,2024-03-01,75,True,True,True,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.905800000000006,-89.6701
243,Cheese Country Commons,1100 Wisconsin Avenue,Wausau,Marathon,WI,53243,(415) 501-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,WI-ALF-40243,Wisconsin Department of Health Services,2024-04-02,76,False,False,False,https://www.marathon-senior-living.com,Active,Wisconsin Department of Health Services,2025-07-17,44.915800000000004,-89.6601
