name,address,city,state,zipCode,county,phone,email,website,description,careTypes,amenities,services,latitude,longitude,licenseNumber,facilityType,discoverySource,discoveryDate,isVerified,subscriptionTier,billingStatus,monthlyRate,hasWaitlist,acceptsMedicaid,lastUpdated
Village Memory Care,100 Main St,Orlando,FL,33032,Orange,(305) 852-2184,info@villagememorycarefl.com,www.villagememorycarefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.32,-80.32,FL-ORA-1033,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057779,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.057781
Orlando Ridge Assisted Living,200 Ocean Ave,Orlando,FL,33033,Orange,(305) 863-2221,info@orlandoridgeassistedlivingfl.com,www.orlandoridgeassistedlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.33,-80.33,FL-ORA-1034,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057786,False,Basic,active,"$6,600/month",False,True,2025-07-22T08:58:18.057788
Vista of Orlando,300 Pine St,Orlando,FL,33034,Orange,(305) 874-2258,info@vistaoforlandofl.com,www.vistaoforlandofl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.34,-80.34,FL-ORA-1035,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057806,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.057808
Park Care Center,500 Oak Dr,Orlando,FL,33035,Orange,(305) 885-2295,info@parkcarecenterfl.com,www.parkcarecenterfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.35,-80.35,FL-ORA-1036,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057815,False,Basic,active,"$5,400/month",True,False,2025-07-22T08:58:18.057817
Orlando Glen Senior Village,750 Sunset Blvd,Orlando,FL,33036,Orange,(305) 896-2332,info@orlandoglenseniorvillagefl.com,www.orlandoglenseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.36,-80.36,FL-ORA-1037,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057822,False,Basic,active,"$4,200/month",False,True,2025-07-22T08:58:18.057824
Village of Orlando,1000 Palm Way,Orlando,FL,33037,Orange,(305) 907-2369,info@villageoforlandofl.com,www.villageoforlandofl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.37,-80.37,FL-ORA-1038,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057829,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.057831
Winter Park Gardens Senior Living,100 Main St,Winter Park,FL,33100,Orange,(954) 500-1000,info@winterparkgardensseniorlivingfl.com,www.winterparkgardensseniorlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.5,-80.3,FL-ORA-1039,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057838,False,Basic,active,"$4,200/month",True,True,2025-07-22T08:58:18.057841
Hills of Winter Park,200 Ocean Ave,Winter Park,FL,33101,Orange,(954) 511-1037,info@hillsofwinterparkfl.com,www.hillsofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.51,-80.31,FL-ORA-1040,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057846,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.057849
Point Senior Village,300 Pine St,Winter Park,FL,33102,Orange,(954) 522-1074,info@pointseniorvillagefl.com,www.pointseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.52,-80.32,FL-ORA-1041,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057854,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.057856
Winter Park Estates Retirement Community,500 Oak Dr,Winter Park,FL,33103,Orange,(954) 533-1111,info@winterparkestatesretirementcommunityfl.com,www.winterparkestatesretirementcommunityfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.53,-80.33,FL-ORA-1042,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057864,False,Basic,active,"$5,400/month",False,True,2025-07-22T08:58:18.057866
Springs of Winter Park,750 Sunset Blvd,Winter Park,FL,33104,Orange,(954) 544-1148,info@springsofwinterparkfl.com,www.springsofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.54,-80.34,FL-ORA-1043,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057872,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.057874
Grove Adult Living,1000 Palm Way,Winter Park,FL,33105,Orange,(954) 555-1185,info@groveadultlivingfl.com,www.groveadultlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.55,-80.35,FL-ORA-1044,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057879,False,Basic,active,"$6,600/month",True,False,2025-07-22T08:58:18.057881
Winter Park Hills Residential Care,1250 Beach Rd,Winter Park,FL,33106,Orange,(954) 566-1222,info@winterparkhillsresidentialcarefl.com,www.winterparkhillsresidentialcarefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.56,-80.36,FL-ORA-1045,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057886,False,Basic,active,"$5,400/month",False,True,2025-07-22T08:58:18.057889
Point of Winter Park,1500 Park Ave,Winter Park,FL,33107,Orange,(954) 577-1259,info@pointofwinterparkfl.com,www.pointofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.57,-80.36999999999999,FL-ORA-1046,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057895,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.057897
Harbor Memory Care,100 Main St,Winter Park,FL,33108,Orange,(954) 588-1296,info@harbormemorycarefl.com,www.harbormemorycarefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.58,-80.38,FL-ORA-1047,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057903,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.057906
Winter Park Springs Assisted Living,200 Ocean Ave,Winter Park,FL,33109,Orange,(954) 599-1333,info@winterparkspringsassistedlivingfl.com,www.winterparkspringsassistedlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.59,-80.39,FL-ORA-1048,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057912,False,Basic,active,"$6,600/month",False,True,2025-07-22T08:58:18.057914
Grove of Winter Park,300 Pine St,Winter Park,FL,33110,Orange,(954) 610-1370,info@groveofwinterparkfl.com,www.groveofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.6,-80.39999999999999,FL-ORA-1049,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057921,False,Basic,active,"$5,400/month",True,False,2025-07-22T08:58:18.057923
Manor Care Center,500 Oak Dr,Winter Park,FL,33111,Orange,(954) 621-1407,info@manorcarecenterfl.com,www.manorcarecenterfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.61,-80.41,FL-ORA-1050,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057929,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.057931
Winter Park Point Senior Village,750 Sunset Blvd,Winter Park,FL,33112,Orange,(954) 632-1444,info@winterparkpointseniorvillagefl.com,www.winterparkpointseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.62,-80.42,FL-ORA-1051,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057936,False,Basic,active,"$4,200/month",False,True,2025-07-22T08:58:18.057938
Harbor of Winter Park,1000 Palm Way,Winter Park,FL,33113,Orange,(954) 643-1481,info@harborofwinterparkfl.com,www.harborofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.63,-80.42999999999999,FL-ORA-1052,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057943,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.057945
Place Senior Living,1250 Beach Rd,Winter Park,FL,33114,Orange,(954) 654-1518,info@placeseniorlivingfl.com,www.placeseniorlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.64,-80.44,FL-ORA-1053,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057951,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.057952
Winter Park Grove Adult Living,1500 Park Ave,Winter Park,FL,33115,Orange,(954) 665-1555,info@winterparkgroveadultlivingfl.com,www.winterparkgroveadultlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.65,-80.45,FL-ORA-1054,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057959,False,Basic,active,"$5,400/month",True,True,2025-07-22T08:58:18.057961
Manor of Winter Park,100 Main St,Winter Park,FL,33116,Orange,(954) 676-1592,info@manorofwinterparkfl.com,www.manorofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.66,-80.46,FL-ORA-1055,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057969,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.057971
Oaks Retirement Community,200 Ocean Ave,Winter Park,FL,33117,Orange,(954) 687-1629,info@oaksretirementcommunityfl.com,www.oaksretirementcommunityfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.67,-80.47,FL-ORA-1056,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.057979,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.057984
Winter Park Harbor Memory Care,300 Pine St,Winter Park,FL,33118,Orange,(954) 698-1666,info@winterparkharbormemorycarefl.com,www.winterparkharbormemorycarefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.68,-80.48,FL-ORA-1057,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058009,False,Basic,active,"$5,400/month",False,True,2025-07-22T08:58:18.058014
Place of Winter Park,500 Oak Dr,Winter Park,FL,33119,Orange,(954) 709-1703,info@placeofwinterparkfl.com,www.placeofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.69,-80.49,FL-ORA-1058,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058023,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058027
Shores Residential Care,750 Sunset Blvd,Winter Park,FL,33120,Orange,(954) 720-1740,info@shoresresidentialcarefl.com,www.shoresresidentialcarefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.7,-80.5,FL-ORA-1059,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058036,False,Basic,active,"$4,200/month",True,False,2025-07-22T08:58:18.058042
Winter Park Manor Care Center,1000 Palm Way,Winter Park,FL,33121,Orange,(954) 731-1777,info@winterparkmanorcarecenterfl.com,www.winterparkmanorcarecenterfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.71,-80.50999999999999,FL-ORA-1060,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058051,False,Basic,active,"$6,600/month",False,True,2025-07-22T08:58:18.058055
Oaks of Winter Park,1250 Beach Rd,Winter Park,FL,33122,Orange,(954) 742-1814,info@oaksofwinterparkfl.com,www.oaksofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.72,-80.52,FL-ORA-1061,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058063,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058067
Ridge Assisted Living,1500 Park Ave,Winter Park,FL,33123,Orange,(954) 753-1851,info@ridgeassistedlivingfl.com,www.ridgeassistedlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.73,-80.53,FL-ORA-1062,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058075,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058079
Winter Park Place Senior Living,100 Main St,Winter Park,FL,33124,Orange,(954) 764-1888,info@winterparkplaceseniorlivingfl.com,www.winterparkplaceseniorlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.74,-80.53999999999999,FL-ORA-1063,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058088,False,Basic,active,"$4,200/month",False,True,2025-07-22T08:58:18.058091
Shores of Winter Park,200 Ocean Ave,Winter Park,FL,33125,Orange,(954) 775-1925,info@shoresofwinterparkfl.com,www.shoresofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.75,-80.55,FL-ORA-1064,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058100,False,Basic,active,"$6,600/month",True,False,2025-07-22T08:58:18.058107
Glen Senior Village,300 Pine St,Winter Park,FL,33126,Orange,(954) 786-1962,info@glenseniorvillagefl.com,www.glenseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.76,-80.56,FL-ORA-1065,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058117,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058122
Winter Park Oaks Retirement Community,500 Oak Dr,Winter Park,FL,33127,Orange,(954) 797-1999,info@winterparkoaksretirementcommunityfl.com,www.winterparkoaksretirementcommunityfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.77,-80.57,FL-ORA-1066,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058133,False,Basic,active,"$5,400/month",False,True,2025-07-22T08:58:18.058137
Ridge of Winter Park,750 Sunset Blvd,Winter Park,FL,33128,Orange,(954) 808-2036,info@ridgeofwinterparkfl.com,www.ridgeofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.78,-80.58,FL-ORA-1067,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058146,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.058150
Vista Adult Living,1000 Palm Way,Winter Park,FL,33129,Orange,(954) 819-2073,info@vistaadultlivingfl.com,www.vistaadultlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.79,-80.59,FL-ORA-1068,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058159,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.058163
Winter Park Shores Residential Care,1250 Beach Rd,Winter Park,FL,33130,Orange,(954) 830-2110,info@winterparkshoresresidentialcarefl.com,www.winterparkshoresresidentialcarefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.8,-80.6,FL-ORA-1069,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058175,False,Basic,active,"$5,400/month",True,True,2025-07-22T08:58:18.058180
Glen of Winter Park,1500 Park Ave,Winter Park,FL,33131,Orange,(954) 841-2147,info@glenofwinterparkfl.com,www.glenofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.81,-80.61,FL-ORA-1070,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058203,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058208
Village Memory Care,100 Main St,Winter Park,FL,33132,Orange,(954) 852-2184,info@villagememorycarefl.com,www.villagememorycarefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.82,-80.61999999999999,FL-ORA-1071,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058224,False,Basic,active,"$4,200/month",False,False,2025-07-22T08:58:18.058229
Winter Park Ridge Assisted Living,200 Ocean Ave,Winter Park,FL,33133,Orange,(954) 863-2221,info@winterparkridgeassistedlivingfl.com,www.winterparkridgeassistedlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.83,-80.63,FL-ORA-1072,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058241,False,Basic,active,"$6,600/month",False,True,2025-07-22T08:58:18.058245
Vista of Winter Park,300 Pine St,Winter Park,FL,33134,Orange,(954) 874-2258,info@vistaofwinterparkfl.com,www.vistaofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.84,-80.64,FL-ORA-1073,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058255,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058260
Park Care Center,500 Oak Dr,Winter Park,FL,33135,Orange,(954) 885-2295,info@parkcarecenterfl.com,www.parkcarecenterfl.com,"Licensed senior living facility serving Orange County, Florida","['Independent Living', 'Assisted Living', 'Memory Care']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.85,-80.64999999999999,FL-ORA-1074,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058274,False,Basic,active,"$5,400/month",True,False,2025-07-22T08:58:18.058279
Winter Park Glen Senior Village,750 Sunset Blvd,Winter Park,FL,33136,Orange,(954) 896-2332,info@winterparkglenseniorvillagefl.com,www.winterparkglenseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.86,-80.66,FL-ORA-1075,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058290,False,Basic,active,"$4,200/month",False,True,2025-07-22T08:58:18.058294
Village of Winter Park,1000 Palm Way,Winter Park,FL,33137,Orange,(954) 907-2369,info@villageofwinterparkfl.com,www.villageofwinterparkfl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",26.87,-80.67,FL-ORA-1076,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058304,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.058309
Apopka Gardens Senior Living,100 Main St,Apopka,FL,33200,Orange,(561) 500-1000,info@apopkagardensseniorlivingfl.com,www.apopkagardensseniorlivingfl.com,"Licensed senior living facility serving Orange County, Florida","['Assisted Living', 'Independent Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.0,-80.6,FL-ORA-1077,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058323,False,Basic,active,"$4,200/month",True,True,2025-07-22T08:58:18.058328
Hills of Apopka,200 Ocean Ave,Apopka,FL,33201,Orange,(561) 511-1037,info@hillsofapopkafl.com,www.hillsofapopkafl.com,"Licensed senior living facility serving Orange County, Florida","['Skilled Nursing', 'Rehabilitation']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.01,-80.61,FL-ORA-1078,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058342,False,Basic,active,"$6,600/month",False,False,2025-07-22T08:58:18.058360
Point Senior Village,300 Pine St,Apopka,FL,33202,Orange,(561) 522-1074,info@pointseniorvillagefl.com,www.pointseniorvillagefl.com,"Licensed senior living facility serving Orange County, Florida","['Memory Care', 'Assisted Living']","['Dining Services', 'Activity Programs', 'Transportation', 'Housekeeping', 'Maintenance', 'Security']","['Medication Management', 'Personal Care', 'Social Activities', 'Meal Services', 'Laundry Services']",27.02,-80.61999999999999,FL-ORA-1079,Senior Living,Florida Orange County Research,2025-07-22T08:58:18.058373,False,Basic,active,"$5,400/month",False,False,2025-07-22T08:58:18.058378
