id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Gateway Manor,1000 Main Street,Kirksville,Adair,MO,63001,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60001,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.adair-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.139700000000005,-92.62960000000001
416,Kansas City Commons,1400 Ozark Street,Linneus,Linn,MO,63416,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60416,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.linn-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6664,-93.0354
417,St. Louis Manor,1500 Kansas City Avenue,Linneus,Linn,MO,63417,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60417,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.linn-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6764,-93.02539999999999
418,Gateway Manor,1000 Main Street,Chillicothe,Livingston,MO,63418,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60418,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.726400000000005,-93.5754
419,Show-Me Village,1100 Missouri Avenue,Chillicothe,Livingston,MO,63419,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60419,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7364,-93.5654
420,Ozark Commons,1200 Gateway Boulevard,Chillicothe,Livingston,MO,63420,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60420,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7464,-93.55539999999999
421,Missouri River Village,1300 Show-Me Drive,Chillicothe,Livingston,MO,63421,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60421,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7564,-93.5454
422,Kansas City Commons,1400 Ozark Street,Chillicothe,Livingston,MO,63422,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60422,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.766400000000004,-93.5354
423,St. Louis Manor,1500 Kansas City Avenue,Chillicothe,Livingston,MO,63423,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60423,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.livingston-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7764,-93.52539999999999
424,Gateway Manor,1000 Main Street,Pineville,McDonald,MO,63424,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60424,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5264,-94.2754
425,Show-Me Village,1100 Missouri Avenue,Pineville,McDonald,MO,63425,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60425,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5364,-94.2654
426,Ozark Commons,1200 Gateway Boulevard,Pineville,McDonald,MO,63426,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60426,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5464,-94.2554
427,Missouri River Village,1300 Show-Me Drive,Pineville,McDonald,MO,63427,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60427,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5564,-94.2454
428,Kansas City Commons,1400 Ozark Street,Pineville,McDonald,MO,63428,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60428,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5664,-94.2354
429,St. Louis Manor,1500 Kansas City Avenue,Pineville,McDonald,MO,63429,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60429,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.mcdonald-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.5764,-94.2254
430,Gateway Manor,1000 Main Street,Macon,Macon,MO,63430,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60430,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6764,-92.47540000000001
431,Show-Me Village,1100 Missouri Avenue,Macon,Macon,MO,63431,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60431,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6864,-92.4654
432,Ozark Commons,1200 Gateway Boulevard,Macon,Macon,MO,63432,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60432,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6964,-92.4554
433,Missouri River Village,1300 Show-Me Drive,Macon,Macon,MO,63433,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60433,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.706399999999995,-92.4454
434,Kansas City Commons,1400 Ozark Street,Macon,Macon,MO,63434,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60434,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7164,-92.4354
435,St. Louis Manor,1500 Kansas City Avenue,Macon,Macon,MO,63435,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60435,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.macon-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7264,-92.4254
436,Gateway Manor,1000 Main Street,Fredericktown,Madison,MO,63436,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60436,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.476400000000005,-90.2754
437,Show-Me Village,1100 Missouri Avenue,Fredericktown,Madison,MO,63437,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60437,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4864,-90.2654
438,Ozark Commons,1200 Gateway Boulevard,Fredericktown,Madison,MO,63438,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60438,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.4964,-90.2554
439,Missouri River Village,1300 Show-Me Drive,Fredericktown,Madison,MO,63439,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60439,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5064,-90.2454
440,Kansas City Commons,1400 Ozark Street,Fredericktown,Madison,MO,63440,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60440,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.516400000000004,-90.2354
441,St. Louis Manor,1500 Kansas City Avenue,Fredericktown,Madison,MO,63441,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60441,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.madison-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,37.5264,-90.2254
442,Gateway Manor,1000 Main Street,Vienna,Maries,MO,63442,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60442,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.126400000000004,-91.97540000000001
443,Show-Me Village,1100 Missouri Avenue,Vienna,Maries,MO,63443,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60443,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1364,-91.9654
444,Ozark Commons,1200 Gateway Boulevard,Vienna,Maries,MO,63444,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60444,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1464,-91.9554
445,Missouri River Village,1300 Show-Me Drive,Vienna,Maries,MO,63445,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60445,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1564,-91.9454
446,Kansas City Commons,1400 Ozark Street,Vienna,Maries,MO,63446,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60446,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1664,-91.9354
447,St. Louis Manor,1500 Kansas City Avenue,Vienna,Maries,MO,63447,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60447,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.maries-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1764,-91.9254
448,Gateway Manor,1000 Main Street,Hannibal,Marion,MO,63448,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60448,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6764,-91.47540000000001
449,Show-Me Village,1100 Missouri Avenue,Hannibal,Marion,MO,63449,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60449,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6864,-91.4654
450,Ozark Commons,1200 Gateway Boulevard,Hannibal,Marion,MO,63450,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60450,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.6964,-91.4554
451,Missouri River Village,1300 Show-Me Drive,Hannibal,Marion,MO,63451,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60451,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.706399999999995,-91.4454
452,Kansas City Commons,1400 Ozark Street,Hannibal,Marion,MO,63452,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60452,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7164,-91.4354
453,St. Louis Manor,1500 Kansas City Avenue,Hannibal,Marion,MO,63453,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60453,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.marion-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.7264,-91.4254
454,Gateway Manor,1000 Main Street,Princeton,Mercer,MO,63454,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60454,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4264,-93.5754
455,Show-Me Village,1100 Missouri Avenue,Princeton,Mercer,MO,63455,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60455,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4364,-93.5654
456,Ozark Commons,1200 Gateway Boulevard,Princeton,Mercer,MO,63456,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60456,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4464,-93.55539999999999
457,Missouri River Village,1300 Show-Me Drive,Princeton,Mercer,MO,63457,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60457,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.456399999999995,-93.5454
458,Kansas City Commons,1400 Ozark Street,Princeton,Mercer,MO,63458,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60458,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4664,-93.5354
459,St. Louis Manor,1500 Kansas City Avenue,Princeton,Mercer,MO,63459,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60459,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.mercer-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,40.4764,-93.52539999999999
460,Gateway Manor,1000 Main Street,Tuscumbia,Miller,MO,63460,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60460,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1764,-92.2754
461,Show-Me Village,1100 Missouri Avenue,Tuscumbia,Miller,MO,63461,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60461,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1864,-92.2654
462,Ozark Commons,1200 Gateway Boulevard,Tuscumbia,Miller,MO,63462,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60462,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.1964,-92.2554
463,Missouri River Village,1300 Show-Me Drive,Tuscumbia,Miller,MO,63463,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60463,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.206399999999995,-92.2454
464,Kansas City Commons,1400 Ozark Street,Tuscumbia,Miller,MO,63464,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60464,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.2164,-92.2354
465,St. Louis Manor,1500 Kansas City Avenue,Tuscumbia,Miller,MO,63465,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60465,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.miller-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.2264,-92.2254
466,Gateway Manor,1000 Main Street,Charleston,Mississippi,MO,63466,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60466,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.9264,-89.37540000000001
467,Show-Me Village,1100 Missouri Avenue,Charleston,Mississippi,MO,63467,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60467,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.9364,-89.36540000000001
468,Ozark Commons,1200 Gateway Boulevard,Charleston,Mississippi,MO,63468,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60468,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.9464,-89.3554
469,Missouri River Village,1300 Show-Me Drive,Charleston,Mississippi,MO,63469,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60469,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.956399999999995,-89.34540000000001
470,Kansas City Commons,1400 Ozark Street,Charleston,Mississippi,MO,63470,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60470,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.9664,-89.3354
471,St. Louis Manor,1500 Kansas City Avenue,Charleston,Mississippi,MO,63471,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60471,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.mississippi-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,36.9764,-89.3254
472,Gateway Manor,1000 Main Street,California,Moniteau,MO,63472,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60472,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5764,-92.5754
473,Show-Me Village,1100 Missouri Avenue,California,Moniteau,MO,63473,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60473,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.5864,-92.5654
474,Ozark Commons,1200 Gateway Boulevard,California,Moniteau,MO,63474,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60474,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.596399999999996,-92.55539999999999
475,Missouri River Village,1300 Show-Me Drive,California,Moniteau,MO,63475,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60475,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.606399999999994,-92.5454
476,Kansas City Commons,1400 Ozark Street,California,Moniteau,MO,63476,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60476,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.6164,-92.5354
477,St. Louis Manor,1500 Kansas City Avenue,California,Moniteau,MO,63477,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60477,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.moniteau-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.6264,-92.52539999999999
478,Gateway Manor,1000 Main Street,Paris,Monroe,MO,63478,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60478,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4264,-91.7754
479,Show-Me Village,1100 Missouri Avenue,Paris,Monroe,MO,63479,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60479,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4364,-91.7654
480,Ozark Commons,1200 Gateway Boulevard,Paris,Monroe,MO,63480,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60480,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4464,-91.7554
481,Missouri River Village,1300 Show-Me Drive,Paris,Monroe,MO,63481,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60481,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.456399999999995,-91.7454
482,Kansas City Commons,1400 Ozark Street,Paris,Monroe,MO,63482,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60482,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4664,-91.7354
483,St. Louis Manor,1500 Kansas City Avenue,Paris,Monroe,MO,63483,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60483,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.monroe-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,39.4764,-91.7254
484,Gateway Manor,1000 Main Street,Montgomery City,Montgomery,MO,63484,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60484,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9264,-91.5754
485,Show-Me Village,1100 Missouri Avenue,Montgomery City,Montgomery,MO,63485,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60485,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9364,-91.5654
486,Ozark Commons,1200 Gateway Boulevard,Montgomery City,Montgomery,MO,63486,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60486,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9464,-91.55539999999999
487,Missouri River Village,1300 Show-Me Drive,Montgomery City,Montgomery,MO,63487,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60487,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.956399999999995,-91.5454
488,Kansas City Commons,1400 Ozark Street,Montgomery City,Montgomery,MO,63488,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60488,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9664,-91.5354
489,St. Louis Manor,1500 Kansas City Avenue,Montgomery City,Montgomery,MO,63489,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60489,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.montgomery-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.9764,-91.52539999999999
490,Gateway Manor,1000 Main Street,Versailles,Morgan,MO,63490,(314) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,40,MO-ALF-60490,Missouri Department of Health and Senior Services,2024-03-01,75,True,True,True,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4264,-92.87540000000001
491,Show-Me Village,1100 Missouri Avenue,Versailles,Morgan,MO,63491,(315) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,41,MO-ALF-60491,Missouri Department of Health and Senior Services,2024-04-02,76,False,False,False,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4364,-92.86540000000001
492,Ozark Commons,1200 Gateway Boulevard,Versailles,Morgan,MO,63492,(316) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,42,MO-ALF-60492,Missouri Department of Health and Senior Services,2024-05-03,77,False,True,False,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4464,-92.8554
493,Missouri River Village,1300 Show-Me Drive,Versailles,Morgan,MO,63493,(317) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,43,MO-ALF-60493,Missouri Department of Health and Senior Services,2024-06-04,78,True,False,False,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.456399999999995,-92.84540000000001
494,Kansas City Commons,1400 Ozark Street,Versailles,Morgan,MO,63494,(318) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,44,MO-ALF-60494,Missouri Department of Health and Senior Services,2024-07-05,79,False,True,True,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4664,-92.8354
495,St. Louis Manor,1500 Kansas City Avenue,Versailles,Morgan,MO,63495,(319) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,45,MO-ALF-60495,Missouri Department of Health and Senior Services,2024-08-06,80,False,False,False,https://www.morgan-senior-living.com,Active,Missouri Department of Health and Senior Services,2025-07-17,38.4764,-92.8254
