id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Hoosier Heritage Manor,1000 Main Street,Decatur,Adams,IN,46001,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30001,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
310,Indiana Crossroads,1500 Maple Avenue,Anderson,Madison,IN,46310,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30310,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.madison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1681,-85.6704
311,Limestone Ridge,1600 Pine Street,Anderson,Madison,IN,46311,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30311,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.madison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.1781,-85.66040000000001
312,Prairie Creek Manor,1700 Cedar Avenue,Anderson,Madison,IN,46312,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30312,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.madison-senior-living.com,Active,Indiana State Department of Health,2025-07-17,40.188100000000006,-85.6504
313,Hoosier Heritage Manor,1000 Main Street,Indianapolis,Marion,IN,46313,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30313,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
314,Crossroads Commons,1100 State Street,Indianapolis,Marion,IN,46314,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30314,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
315,Wabash Valley Care,1200 Washington Street,Indianapolis,Marion,IN,46315,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30315,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
316,Circle City Manor,1300 Lincoln Avenue,Indianapolis,Marion,IN,46316,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30316,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
317,Corn Belt Commons,1400 Oak Street,Indianapolis,Marion,IN,46317,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30317,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
318,Indiana Crossroads,1500 Maple Avenue,Indianapolis,Marion,IN,46318,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30318,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
319,Limestone Ridge,1600 Pine Street,Indianapolis,Marion,IN,46319,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30319,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7784,-86.13810000000001
320,Prairie Creek Manor,1700 Cedar Avenue,Indianapolis,Marion,IN,46320,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30320,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7884,-86.1281
321,Heartland Village,1800 First Street,Indianapolis,Marion,IN,46321,(325) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,IN-ALF-30321,Indiana State Department of Health,2024-11-09,83,False,True,True,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7984,-86.19810000000001
322,Maple Grove Manor,1900 Second Street,Indianapolis,Marion,IN,46322,(326) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,IN-ALF-30322,Indiana State Department of Health,2024-03-10,84,True,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.8084,-86.1881
323,Cedar Creek Commons,2000 Third Street,Indianapolis,Marion,IN,46323,(327) 410-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,35,IN-ALF-30323,Indiana State Department of Health,2024-04-11,85,False,True,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.1781
324,Woodland Hills,2100 Fourth Street,Indianapolis,Marion,IN,46324,(328) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,36,IN-ALF-30324,Indiana State Department of Health,2024-05-12,86,False,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.16810000000001
325,Golden Acres,2200 Michigan Street,Indianapolis,Marion,IN,46325,(329) 412-1012,Senior Living,Assisted Living; Personal Care; Hospice Care,37,IN-ALF-30325,Indiana State Department of Health,2024-06-13,87,True,True,True,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1581
326,Autumn Winds,2300 Illinois Street,Indianapolis,Marion,IN,46326,(330) 413-1013,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,38,IN-ALF-30326,Indiana State Department of Health,2024-07-14,88,False,False,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.1481
327,Hillcrest Manor,2400 Ohio Street,Indianapolis,Marion,IN,46327,(331) 414-1014,Senior Living,Assisted Living; Memory Care; Independent Living,39,IN-ALF-30327,Indiana State Department of Health,2024-08-15,89,False,True,False,https://www.marion-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.13810000000001
328,Hoosier Heritage Manor,1000 Main Street,Plymouth,Marshall,IN,46328,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30328,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
329,Crossroads Commons,1100 State Street,Plymouth,Marshall,IN,46329,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30329,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
330,Wabash Valley Care,1200 Washington Street,Plymouth,Marshall,IN,46330,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30330,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
331,Circle City Manor,1300 Lincoln Avenue,Plymouth,Marshall,IN,46331,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30331,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
332,Corn Belt Commons,1400 Oak Street,Plymouth,Marshall,IN,46332,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30332,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
333,Indiana Crossroads,1500 Maple Avenue,Plymouth,Marshall,IN,46333,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30333,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.marshall-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
334,Hoosier Heritage Manor,1000 Main Street,Shoals,Martin,IN,46334,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30334,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
335,Crossroads Commons,1100 State Street,Shoals,Martin,IN,46335,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30335,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
336,Wabash Valley Care,1200 Washington Street,Shoals,Martin,IN,46336,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30336,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
337,Circle City Manor,1300 Lincoln Avenue,Shoals,Martin,IN,46337,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30337,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
338,Corn Belt Commons,1400 Oak Street,Shoals,Martin,IN,46338,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30338,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
339,Indiana Crossroads,1500 Maple Avenue,Shoals,Martin,IN,46339,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30339,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.martin-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
340,Hoosier Heritage Manor,1000 Main Street,Peru,Miami,IN,46340,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30340,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
341,Crossroads Commons,1100 State Street,Peru,Miami,IN,46341,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30341,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
342,Wabash Valley Care,1200 Washington Street,Peru,Miami,IN,46342,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30342,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
343,Circle City Manor,1300 Lincoln Avenue,Peru,Miami,IN,46343,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30343,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
344,Corn Belt Commons,1400 Oak Street,Peru,Miami,IN,46344,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30344,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
345,Indiana Crossroads,1500 Maple Avenue,Peru,Miami,IN,46345,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30345,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.miami-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
346,Hoosier Heritage Manor,1000 Main Street,Bloomington,Monroe,IN,46346,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30346,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1137,-86.5664
347,Crossroads Commons,1100 State Street,Bloomington,Monroe,IN,46347,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30347,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1237,-86.5564
348,Wabash Valley Care,1200 Washington Street,Bloomington,Monroe,IN,46348,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30348,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1337,-86.54639999999999
349,Circle City Manor,1300 Lincoln Avenue,Bloomington,Monroe,IN,46349,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30349,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.143699999999995,-86.5364
350,Corn Belt Commons,1400 Oak Street,Bloomington,Monroe,IN,46350,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30350,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1537,-86.5264
351,Indiana Crossroads,1500 Maple Avenue,Bloomington,Monroe,IN,46351,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30351,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1637,-86.51639999999999
352,Limestone Ridge,1600 Pine Street,Bloomington,Monroe,IN,46352,(323) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,IN-ALF-30352,Indiana State Department of Health,2024-09-07,81,True,True,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1737,-86.5064
353,Prairie Creek Manor,1700 Cedar Avenue,Bloomington,Monroe,IN,46353,(324) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,IN-ALF-30353,Indiana State Department of Health,2024-10-08,82,False,False,False,https://www.monroe-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.1837,-86.4964
354,Hoosier Heritage Manor,1000 Main Street,Crawfordsville,Montgomery,IN,46354,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30354,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
355,Crossroads Commons,1100 State Street,Crawfordsville,Montgomery,IN,46355,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30355,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
356,Wabash Valley Care,1200 Washington Street,Crawfordsville,Montgomery,IN,46356,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30356,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
357,Circle City Manor,1300 Lincoln Avenue,Crawfordsville,Montgomery,IN,46357,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30357,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
358,Corn Belt Commons,1400 Oak Street,Crawfordsville,Montgomery,IN,46358,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30358,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
359,Indiana Crossroads,1500 Maple Avenue,Crawfordsville,Montgomery,IN,46359,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30359,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.montgomery-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
360,Hoosier Heritage Manor,1000 Main Street,Martinsville,Morgan,IN,46360,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30360,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
361,Crossroads Commons,1100 State Street,Martinsville,Morgan,IN,46361,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30361,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
362,Wabash Valley Care,1200 Washington Street,Martinsville,Morgan,IN,46362,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30362,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
363,Circle City Manor,1300 Lincoln Avenue,Martinsville,Morgan,IN,46363,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30363,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
364,Corn Belt Commons,1400 Oak Street,Martinsville,Morgan,IN,46364,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30364,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
365,Indiana Crossroads,1500 Maple Avenue,Martinsville,Morgan,IN,46365,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30365,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.morgan-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
366,Hoosier Heritage Manor,1000 Main Street,Kentland,Newton,IN,46366,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30366,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
367,Crossroads Commons,1100 State Street,Kentland,Newton,IN,46367,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30367,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
368,Wabash Valley Care,1200 Washington Street,Kentland,Newton,IN,46368,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30368,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
369,Circle City Manor,1300 Lincoln Avenue,Kentland,Newton,IN,46369,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30369,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
370,Corn Belt Commons,1400 Oak Street,Kentland,Newton,IN,46370,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30370,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
371,Indiana Crossroads,1500 Maple Avenue,Kentland,Newton,IN,46371,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30371,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.newton-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
372,Hoosier Heritage Manor,1000 Main Street,Albion,Noble,IN,46372,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30372,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
373,Crossroads Commons,1100 State Street,Albion,Noble,IN,46373,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30373,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
374,Wabash Valley Care,1200 Washington Street,Albion,Noble,IN,46374,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30374,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
375,Circle City Manor,1300 Lincoln Avenue,Albion,Noble,IN,46375,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30375,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
376,Corn Belt Commons,1400 Oak Street,Albion,Noble,IN,46376,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30376,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
377,Indiana Crossroads,1500 Maple Avenue,Albion,Noble,IN,46377,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30377,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.noble-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
378,Hoosier Heritage Manor,1000 Main Street,Rising Sun,Ohio,IN,46378,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30378,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
379,Crossroads Commons,1100 State Street,Rising Sun,Ohio,IN,46379,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30379,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
380,Wabash Valley Care,1200 Washington Street,Rising Sun,Ohio,IN,46380,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30380,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
381,Circle City Manor,1300 Lincoln Avenue,Rising Sun,Ohio,IN,46381,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30381,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
382,Corn Belt Commons,1400 Oak Street,Rising Sun,Ohio,IN,46382,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30382,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
383,Indiana Crossroads,1500 Maple Avenue,Rising Sun,Ohio,IN,46383,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30383,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.ohio-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
384,Hoosier Heritage Manor,1000 Main Street,Paoli,Orange,IN,46384,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30384,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
385,Crossroads Commons,1100 State Street,Paoli,Orange,IN,46385,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30385,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
386,Wabash Valley Care,1200 Washington Street,Paoli,Orange,IN,46386,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30386,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
387,Circle City Manor,1300 Lincoln Avenue,Paoli,Orange,IN,46387,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30387,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
388,Corn Belt Commons,1400 Oak Street,Paoli,Orange,IN,46388,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30388,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
389,Indiana Crossroads,1500 Maple Avenue,Paoli,Orange,IN,46389,(322) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,IN-ALF-30389,Indiana State Department of Health,2024-08-06,80,False,False,False,https://www.orange-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7684,-86.1481
390,Hoosier Heritage Manor,1000 Main Street,Spencer,Owen,IN,46390,(317) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,IN-ALF-30390,Indiana State Department of Health,2024-03-01,75,True,True,True,https://www.owen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7184,-86.19810000000001
391,Crossroads Commons,1100 State Street,Spencer,Owen,IN,46391,(318) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,IN-ALF-30391,Indiana State Department of Health,2024-04-02,76,False,False,False,https://www.owen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7284,-86.1881
392,Wabash Valley Care,1200 Washington Street,Spencer,Owen,IN,46392,(319) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,IN-ALF-30392,Indiana State Department of Health,2024-05-03,77,False,True,False,https://www.owen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7384,-86.1781
393,Circle City Manor,1300 Lincoln Avenue,Spencer,Owen,IN,46393,(320) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,IN-ALF-30393,Indiana State Department of Health,2024-06-04,78,True,False,False,https://www.owen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7484,-86.16810000000001
394,Corn Belt Commons,1400 Oak Street,Spencer,Owen,IN,46394,(321) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,IN-ALF-30394,Indiana State Department of Health,2024-07-05,79,False,True,True,https://www.owen-senior-living.com,Active,Indiana State Department of Health,2025-07-17,39.7584,-86.1581
