id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Sunflower Manor,1000 Main Street,Iola,Allen,KS,66001,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70001,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.allen-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.876400000000004,-95.47540000000001
359,Topeka Manor,1500 Jayhawk Avenue,McPherson,McPherson,KS,66359,(321) 205-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,30,KS-ACH-70359,Kansas Department for Aging and Disability Services,2024-08-06,80,False,False,False,https://www.mcpherson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3764,-97.7254
360,Overland Park Village,1600 Wichita Boulevard,McPherson,McPherson,KS,66360,(322) 206-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,31,KS-ACH-70360,Kansas Department for Aging and Disability Services,2024-09-07,81,True,True,False,https://www.mcpherson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.386399999999995,-97.7154
361,Kansas City Commons,1700 Topeka Drive,McPherson,McPherson,KS,66361,(323) 207-1007,Senior Living,Assisted Living; Memory Care; Independent Living,32,KS-ACH-70361,Kansas Department for Aging and Disability Services,2024-10-08,82,False,False,False,https://www.mcpherson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3964,-97.7054
362,Lawrence Manor,1800 Overland Park Street,McPherson,McPherson,KS,66362,(324) 208-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,33,KS-ACH-70362,Kansas Department for Aging and Disability Services,2024-11-09,83,False,True,True,https://www.mcpherson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4064,-97.7754
363,Manhattan Village,1900 Kansas City Avenue,McPherson,McPherson,KS,66363,(325) 209-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,34,KS-ACH-70363,Kansas Department for Aging and Disability Services,2024-03-10,84,True,False,False,https://www.mcpherson-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.416399999999996,-97.7654
364,Sunflower Manor,1000 Main Street,Marion,Marion,KS,66364,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70364,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.marion-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3264,-97.0754
365,Prairie Village,1100 Kansas Avenue,Marion,Marion,KS,66365,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70365,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.marion-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3364,-97.0654
366,Wheat Country Commons,1200 Sunflower Boulevard,Marion,Marion,KS,66366,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70366,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.marion-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.346399999999996,-97.05539999999999
367,Jayhawk Village,1300 Prairie Drive,Marion,Marion,KS,66367,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70367,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.marion-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.356399999999994,-97.0454
368,Wichita Commons,1400 Wheat Street,Marion,Marion,KS,66368,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70368,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.marion-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.3664,-97.0354
369,Sunflower Manor,1000 Main Street,Marysville,Marshall,KS,66369,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70369,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.marshall-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7764,-96.87540000000001
370,Prairie Village,1100 Kansas Avenue,Marysville,Marshall,KS,66370,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70370,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.marshall-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7864,-96.86540000000001
371,Wheat Country Commons,1200 Sunflower Boulevard,Marysville,Marshall,KS,66371,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70371,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.marshall-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7964,-96.8554
372,Jayhawk Village,1300 Prairie Drive,Marysville,Marshall,KS,66372,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70372,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.marshall-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8064,-96.84540000000001
373,Wichita Commons,1400 Wheat Street,Marysville,Marshall,KS,66373,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70373,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.marshall-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8164,-96.8354
374,Sunflower Manor,1000 Main Street,Meade,Meade,KS,66374,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70374,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.meade-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.226400000000005,-100.37540000000001
375,Prairie Village,1100 Kansas Avenue,Meade,Meade,KS,66375,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70375,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.meade-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2364,-100.36540000000001
376,Wheat Country Commons,1200 Sunflower Boulevard,Meade,Meade,KS,66376,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70376,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.meade-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2464,-100.3554
377,Jayhawk Village,1300 Prairie Drive,Meade,Meade,KS,66377,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70377,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.meade-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2564,-100.34540000000001
378,Wichita Commons,1400 Wheat Street,Meade,Meade,KS,66378,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70378,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.meade-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.266400000000004,-100.3354
379,Sunflower Manor,1000 Main Street,Paola,Miami,KS,66379,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70379,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.miami-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5264,-94.7754
380,Prairie Village,1100 Kansas Avenue,Paola,Miami,KS,66380,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70380,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.miami-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5364,-94.7654
381,Wheat Country Commons,1200 Sunflower Boulevard,Paola,Miami,KS,66381,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70381,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.miami-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5464,-94.7554
382,Jayhawk Village,1300 Prairie Drive,Paola,Miami,KS,66382,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70382,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.miami-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5564,-94.7454
383,Wichita Commons,1400 Wheat Street,Paola,Miami,KS,66383,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70383,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.miami-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5664,-94.7354
384,Sunflower Manor,1000 Main Street,Beloit,Mitchell,KS,66384,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70384,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.mitchell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.376400000000004,-98.17540000000001
385,Prairie Village,1100 Kansas Avenue,Beloit,Mitchell,KS,66385,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70385,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.mitchell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3864,-98.1654
386,Wheat Country Commons,1200 Sunflower Boulevard,Beloit,Mitchell,KS,66386,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70386,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.mitchell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3964,-98.1554
387,Jayhawk Village,1300 Prairie Drive,Beloit,Mitchell,KS,66387,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70387,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.mitchell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4064,-98.14540000000001
388,Wichita Commons,1400 Wheat Street,Beloit,Mitchell,KS,66388,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70388,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.mitchell-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4164,-98.1354
389,Sunflower Manor,1000 Main Street,Independence,Montgomery,KS,66389,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70389,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.montgomery-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1764,-95.7754
390,Prairie Village,1100 Kansas Avenue,Independence,Montgomery,KS,66390,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70390,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.montgomery-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1864,-95.7654
391,Wheat Country Commons,1200 Sunflower Boulevard,Independence,Montgomery,KS,66391,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70391,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.montgomery-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1964,-95.7554
392,Jayhawk Village,1300 Prairie Drive,Independence,Montgomery,KS,66392,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70392,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.montgomery-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.206399999999995,-95.7454
393,Wichita Commons,1400 Wheat Street,Independence,Montgomery,KS,66393,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70393,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.montgomery-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2164,-95.7354
394,Sunflower Manor,1000 Main Street,Council Grove,Morris,KS,66394,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70394,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.morris-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.626400000000004,-96.5754
395,Prairie Village,1100 Kansas Avenue,Council Grove,Morris,KS,66395,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70395,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.morris-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6364,-96.5654
396,Wheat Country Commons,1200 Sunflower Boulevard,Council Grove,Morris,KS,66396,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70396,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.morris-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6464,-96.55539999999999
397,Jayhawk Village,1300 Prairie Drive,Council Grove,Morris,KS,66397,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70397,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.morris-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6564,-96.5454
398,Wichita Commons,1400 Wheat Street,Council Grove,Morris,KS,66398,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70398,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.morris-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6664,-96.5354
399,Sunflower Manor,1000 Main Street,Elkhart,Morton,KS,66399,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70399,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.morton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1764,-101.87540000000001
400,Prairie Village,1100 Kansas Avenue,Elkhart,Morton,KS,66400,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70400,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.morton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1864,-101.86540000000001
401,Wheat Country Commons,1200 Sunflower Boulevard,Elkhart,Morton,KS,66401,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70401,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.morton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.1964,-101.8554
402,Jayhawk Village,1300 Prairie Drive,Elkhart,Morton,KS,66402,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70402,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.morton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.206399999999995,-101.84540000000001
403,Wichita Commons,1400 Wheat Street,Elkhart,Morton,KS,66403,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70403,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.morton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.2164,-101.8354
404,Sunflower Manor,1000 Main Street,Seneca,Nemaha,KS,66404,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70404,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.nemaha-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7764,-96.0754
405,Prairie Village,1100 Kansas Avenue,Seneca,Nemaha,KS,66405,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70405,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.nemaha-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7864,-96.0654
406,Wheat Country Commons,1200 Sunflower Boulevard,Seneca,Nemaha,KS,66406,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70406,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.nemaha-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7964,-96.05539999999999
407,Jayhawk Village,1300 Prairie Drive,Seneca,Nemaha,KS,66407,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70407,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.nemaha-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8064,-96.0454
408,Wichita Commons,1400 Wheat Street,Seneca,Nemaha,KS,66408,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70408,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.nemaha-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8164,-96.0354
409,Sunflower Manor,1000 Main Street,Chanute,Neosho,KS,66409,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70409,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.neosho-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5764,-95.37540000000001
410,Prairie Village,1100 Kansas Avenue,Chanute,Neosho,KS,66410,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70410,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.neosho-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.5864,-95.36540000000001
411,Wheat Country Commons,1200 Sunflower Boulevard,Chanute,Neosho,KS,66411,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70411,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.neosho-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.596399999999996,-95.3554
412,Jayhawk Village,1300 Prairie Drive,Chanute,Neosho,KS,66412,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70412,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.neosho-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.606399999999994,-95.34540000000001
413,Wichita Commons,1400 Wheat Street,Chanute,Neosho,KS,66413,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70413,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.neosho-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,37.6164,-95.3354
414,Sunflower Manor,1000 Main Street,Ness City,Ness,KS,66414,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70414,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.ness-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4264,-99.97540000000001
415,Prairie Village,1100 Kansas Avenue,Ness City,Ness,KS,66415,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70415,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.ness-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4364,-99.9654
416,Wheat Country Commons,1200 Sunflower Boulevard,Ness City,Ness,KS,66416,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70416,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.ness-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4464,-99.9554
417,Jayhawk Village,1300 Prairie Drive,Ness City,Ness,KS,66417,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70417,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.ness-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.456399999999995,-99.9454
418,Wichita Commons,1400 Wheat Street,Ness City,Ness,KS,66418,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70418,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.ness-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.4664,-99.9354
419,Sunflower Manor,1000 Main Street,Norton,Norton,KS,66419,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70419,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.norton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7764,-99.87540000000001
420,Prairie Village,1100 Kansas Avenue,Norton,Norton,KS,66420,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70420,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.norton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7864,-99.86540000000001
421,Wheat Country Commons,1200 Sunflower Boulevard,Norton,Norton,KS,66421,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70421,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.norton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.7964,-99.8554
422,Jayhawk Village,1300 Prairie Drive,Norton,Norton,KS,66422,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70422,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.norton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8064,-99.84540000000001
423,Wichita Commons,1400 Wheat Street,Norton,Norton,KS,66423,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70423,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.norton-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.8164,-99.8354
424,Sunflower Manor,1000 Main Street,Lyndon,Osage,KS,66424,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70424,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.osage-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5764,-95.87540000000001
425,Prairie Village,1100 Kansas Avenue,Lyndon,Osage,KS,66425,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70425,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.osage-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.5864,-95.86540000000001
426,Wheat Country Commons,1200 Sunflower Boulevard,Lyndon,Osage,KS,66426,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70426,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.osage-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.596399999999996,-95.8554
427,Jayhawk Village,1300 Prairie Drive,Lyndon,Osage,KS,66427,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70427,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.osage-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.606399999999994,-95.84540000000001
428,Wichita Commons,1400 Wheat Street,Lyndon,Osage,KS,66428,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70428,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.osage-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.6164,-95.8354
429,Sunflower Manor,1000 Main Street,Osborne,Osborne,KS,66429,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70429,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.osborne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.376400000000004,-98.7754
430,Prairie Village,1100 Kansas Avenue,Osborne,Osborne,KS,66430,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70430,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.osborne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3864,-98.7654
431,Wheat Country Commons,1200 Sunflower Boulevard,Osborne,Osborne,KS,66431,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70431,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.osborne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.3964,-98.7554
432,Jayhawk Village,1300 Prairie Drive,Osborne,Osborne,KS,66432,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70432,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.osborne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4064,-98.7454
433,Wichita Commons,1400 Wheat Street,Osborne,Osborne,KS,66433,(320) 204-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,29,KS-ACH-70433,Kansas Department for Aging and Disability Services,2024-07-05,79,False,True,True,https://www.osborne-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.4164,-98.7354
434,Sunflower Manor,1000 Main Street,Minneapolis,Ottawa,KS,66434,(316) 200-1000,Senior Living,Assisted Living; Memory Care; Independent Living,25,KS-ACH-70434,Kansas Department for Aging and Disability Services,2024-03-01,75,True,True,True,https://www.ottawa-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.976400000000005,-97.67540000000001
435,Prairie Village,1100 Kansas Avenue,Minneapolis,Ottawa,KS,66435,(317) 201-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,26,KS-ACH-70435,Kansas Department for Aging and Disability Services,2024-04-02,76,False,False,False,https://www.ottawa-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9864,-97.6654
436,Wheat Country Commons,1200 Sunflower Boulevard,Minneapolis,Ottawa,KS,66436,(318) 202-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,27,KS-ACH-70436,Kansas Department for Aging and Disability Services,2024-05-03,77,False,True,False,https://www.ottawa-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,38.9964,-97.6554
437,Jayhawk Village,1300 Prairie Drive,Minneapolis,Ottawa,KS,66437,(319) 203-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,28,KS-ACH-70437,Kansas Department for Aging and Disability Services,2024-06-04,78,True,False,False,https://www.ottawa-senior-living.com,Active,Kansas Department for Aging and Disability Services,2025-07-17,39.0064,-97.64540000000001
