id,name,address,city,county,state,zip,phone,facilityType,careTypes,capacity,licenseNumber,licensingAgency,lastInspectionDate,inspectionScore,acceptsMedicaid,acceptsMedicare,acceptsVeteransBenefits,website,operatingStatus,dataSource,lastUpdated,latitude,longitude
1,Buckeye Manor,1000 Main Street,West Union,Adams,OH,43001,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40001,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.adams-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
387,Heartland Commons,1100 State Street,Newark,Licking,OH,43387,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40387,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0281,-82.43130000000001
388,Ohio Valley Care,1200 High Street,Newark,Licking,OH,43388,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40388,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0381,-82.4213
389,River View Manor,1300 Broad Street,Newark,Licking,OH,43389,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40389,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0481,-82.41130000000001
390,Prairie Village,1400 Oak Street,Newark,Licking,OH,43390,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40390,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0581,-82.4013
391,Heritage House,1500 Maple Avenue,Newark,Licking,OH,43391,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40391,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0681,-82.3913
392,Sunrise Manor,1600 Pine Street,Newark,Licking,OH,43392,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40392,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.0781,-82.38130000000001
393,Lakeside Living,1700 Cedar Avenue,Newark,Licking,OH,43393,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40393,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.licking-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.088100000000004,-82.3713
394,Buckeye Manor,1000 Main Street,Bellefontaine,Logan,OH,43394,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40394,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
395,Heartland Commons,1100 State Street,Bellefontaine,Logan,OH,43395,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40395,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
396,Ohio Valley Care,1200 High Street,Bellefontaine,Logan,OH,43396,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40396,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
397,River View Manor,1300 Broad Street,Bellefontaine,Logan,OH,43397,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40397,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
398,Prairie Village,1400 Oak Street,Bellefontaine,Logan,OH,43398,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40398,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
399,Heritage House,1500 Maple Avenue,Bellefontaine,Logan,OH,43399,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40399,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
400,Sunrise Manor,1600 Pine Street,Bellefontaine,Logan,OH,43400,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40400,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
401,Lakeside Living,1700 Cedar Avenue,Bellefontaine,Logan,OH,43401,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40401,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.logan-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
402,Buckeye Manor,1000 Main Street,Elyria,Lorain,OH,43402,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40402,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.3545,-82.2176
403,Heartland Commons,1100 State Street,Elyria,Lorain,OH,43403,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40403,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.3645,-82.2076
404,Ohio Valley Care,1200 High Street,Elyria,Lorain,OH,43404,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40404,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.3745,-82.1976
405,River View Manor,1300 Broad Street,Elyria,Lorain,OH,43405,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40405,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.384499999999996,-82.1876
406,Prairie Village,1400 Oak Street,Elyria,Lorain,OH,43406,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40406,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.3945,-82.1776
407,Heritage House,1500 Maple Avenue,Elyria,Lorain,OH,43407,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40407,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4045,-82.1676
408,Sunrise Manor,1600 Pine Street,Elyria,Lorain,OH,43408,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40408,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4145,-82.1576
409,Lakeside Living,1700 Cedar Avenue,Elyria,Lorain,OH,43409,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40409,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4245,-82.1476
410,Meadowbrook,1800 First Street,Elyria,Lorain,OH,43410,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40410,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4345,-82.2176
411,Maple Ridge,1900 Second Street,Elyria,Lorain,OH,43411,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40411,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.lorain-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.4445,-82.2076
412,Buckeye Manor,1000 Main Street,Toledo,Lucas,OH,43412,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40412,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6028,-83.5779
413,Heartland Commons,1100 State Street,Toledo,Lucas,OH,43413,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40413,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6128,-83.5679
414,Ohio Valley Care,1200 High Street,Toledo,Lucas,OH,43414,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40414,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6228,-83.55789999999999
415,River View Manor,1300 Broad Street,Toledo,Lucas,OH,43415,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40415,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.632799999999996,-83.5479
416,Prairie Village,1400 Oak Street,Toledo,Lucas,OH,43416,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40416,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6428,-83.5379
417,Heritage House,1500 Maple Avenue,Toledo,Lucas,OH,43417,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40417,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6528,-83.52789999999999
418,Sunrise Manor,1600 Pine Street,Toledo,Lucas,OH,43418,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40418,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6628,-83.5179
419,Lakeside Living,1700 Cedar Avenue,Toledo,Lucas,OH,43419,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40419,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6728,-83.50789999999999
420,Meadowbrook,1800 First Street,Toledo,Lucas,OH,43420,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40420,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6828,-83.5779
421,Maple Ridge,1900 Second Street,Toledo,Lucas,OH,43421,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40421,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6928,-83.5679
422,Cedar Grove,2000 Third Street,Toledo,Lucas,OH,43422,(226) 410-1010,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,40,OH-ALF-40422,Ohio Department of Health,2024-04-11,85,False,True,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6028,-83.55789999999999
423,Woodland Manor,2100 Fourth Street,Toledo,Lucas,OH,43423,(227) 411-1011,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,41,OH-ALF-40423,Ohio Department of Health,2024-05-12,86,False,False,False,https://www.lucas-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.6128,-83.5479
424,Buckeye Manor,1000 Main Street,London,Madison,OH,43424,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40424,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
425,Heartland Commons,1100 State Street,London,Madison,OH,43425,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40425,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
426,Ohio Valley Care,1200 High Street,London,Madison,OH,43426,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40426,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
427,River View Manor,1300 Broad Street,London,Madison,OH,43427,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40427,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
428,Prairie Village,1400 Oak Street,London,Madison,OH,43428,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40428,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
429,Heritage House,1500 Maple Avenue,London,Madison,OH,43429,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40429,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
430,Sunrise Manor,1600 Pine Street,London,Madison,OH,43430,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40430,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
431,Lakeside Living,1700 Cedar Avenue,London,Madison,OH,43431,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40431,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.madison-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
432,Buckeye Manor,1000 Main Street,Youngstown,Mahoning,OH,43432,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40432,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.981500000000004,-80.68950000000001
433,Heartland Commons,1100 State Street,Youngstown,Mahoning,OH,43433,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40433,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,40.9915,-80.6795
434,Ohio Valley Care,1200 High Street,Youngstown,Mahoning,OH,43434,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40434,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0015,-80.6695
435,River View Manor,1300 Broad Street,Youngstown,Mahoning,OH,43435,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40435,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0115,-80.65950000000001
436,Prairie Village,1400 Oak Street,Youngstown,Mahoning,OH,43436,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40436,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0215,-80.6495
437,Heritage House,1500 Maple Avenue,Youngstown,Mahoning,OH,43437,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40437,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0315,-80.6395
438,Sunrise Manor,1600 Pine Street,Youngstown,Mahoning,OH,43438,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40438,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0415,-80.62950000000001
439,Lakeside Living,1700 Cedar Avenue,Youngstown,Mahoning,OH,43439,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40439,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.051500000000004,-80.6195
440,Meadowbrook,1800 First Street,Youngstown,Mahoning,OH,43440,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40440,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0615,-80.68950000000001
441,Maple Ridge,1900 Second Street,Youngstown,Mahoning,OH,43441,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40441,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.mahoning-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0715,-80.6795
442,Buckeye Manor,1000 Main Street,Marion,Marion,OH,43442,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40442,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
443,Heartland Commons,1100 State Street,Marion,Marion,OH,43443,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40443,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
444,Ohio Valley Care,1200 High Street,Marion,Marion,OH,43444,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40444,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
445,River View Manor,1300 Broad Street,Marion,Marion,OH,43445,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40445,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
446,Prairie Village,1400 Oak Street,Marion,Marion,OH,43446,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40446,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
447,Heritage House,1500 Maple Avenue,Marion,Marion,OH,43447,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40447,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
448,Sunrise Manor,1600 Pine Street,Marion,Marion,OH,43448,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40448,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
449,Lakeside Living,1700 Cedar Avenue,Marion,Marion,OH,43449,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40449,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.marion-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
450,Buckeye Manor,1000 Main Street,Medina,Medina,OH,43450,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40450,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0857,-81.90870000000001
451,Heartland Commons,1100 State Street,Medina,Medina,OH,43451,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40451,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.0957,-81.8987
452,Ohio Valley Care,1200 High Street,Medina,Medina,OH,43452,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40452,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1057,-81.8887
453,River View Manor,1300 Broad Street,Medina,Medina,OH,43453,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40453,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1157,-81.87870000000001
454,Prairie Village,1400 Oak Street,Medina,Medina,OH,43454,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40454,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1257,-81.8687
455,Heritage House,1500 Maple Avenue,Medina,Medina,OH,43455,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40455,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1357,-81.8587
456,Sunrise Manor,1600 Pine Street,Medina,Medina,OH,43456,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40456,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1457,-81.84870000000001
457,Lakeside Living,1700 Cedar Avenue,Medina,Medina,OH,43457,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40457,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1557,-81.8387
458,Meadowbrook,1800 First Street,Medina,Medina,OH,43458,(224) 408-1008,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,38,OH-ALF-40458,Ohio Department of Health,2024-11-09,83,False,True,True,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1657,-81.90870000000001
459,Maple Ridge,1900 Second Street,Medina,Medina,OH,43459,(225) 409-1009,Senior Living,Continuing Care; Adult Day Services; Personal Care,39,OH-ALF-40459,Ohio Department of Health,2024-03-10,84,True,False,False,https://www.medina-senior-living.com,Active,Ohio Department of Health,2025-07-17,41.1757,-81.8987
460,Buckeye Manor,1000 Main Street,Pomeroy,Meigs,OH,43460,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40460,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
461,Heartland Commons,1100 State Street,Pomeroy,Meigs,OH,43461,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40461,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
462,Ohio Valley Care,1200 High Street,Pomeroy,Meigs,OH,43462,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40462,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
463,River View Manor,1300 Broad Street,Pomeroy,Meigs,OH,43463,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40463,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
464,Prairie Village,1400 Oak Street,Pomeroy,Meigs,OH,43464,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40464,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
465,Heritage House,1500 Maple Avenue,Pomeroy,Meigs,OH,43465,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40465,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
466,Sunrise Manor,1600 Pine Street,Pomeroy,Meigs,OH,43466,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40466,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
467,Lakeside Living,1700 Cedar Avenue,Pomeroy,Meigs,OH,43467,(223) 407-1007,Senior Living,Assisted Living; Memory Care; Independent Living,37,OH-ALF-40467,Ohio Department of Health,2024-10-08,82,False,False,False,https://www.meigs-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9812,-82.9688
468,Buckeye Manor,1000 Main Street,Celina,Mercer,OH,43468,(216) 400-1000,Senior Living,Assisted Living; Memory Care; Independent Living,30,OH-ALF-40468,Ohio Department of Health,2024-03-01,75,True,True,True,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9112,-83.03880000000001
469,Heartland Commons,1100 State Street,Celina,Mercer,OH,43469,(217) 401-1001,Senior Living,Skilled Nursing; Rehabilitation; Respite Care,31,OH-ALF-40469,Ohio Department of Health,2024-04-02,76,False,False,False,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9212,-83.0288
470,Ohio Valley Care,1200 High Street,Celina,Mercer,OH,43470,(218) 402-1002,Senior Living,Continuing Care; Adult Day Services; Personal Care,32,OH-ALF-40470,Ohio Department of Health,2024-05-03,77,False,True,False,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9312,-83.0188
471,River View Manor,1300 Broad Street,Celina,Mercer,OH,43471,(219) 403-1003,Senior Living,Independent Living; Alzheimer's Care; Dementia Care,33,OH-ALF-40471,Ohio Department of Health,2024-06-04,78,True,False,False,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.941199999999995,-83.00880000000001
472,Prairie Village,1400 Oak Street,Celina,Mercer,OH,43472,(220) 404-1004,Senior Living,Memory Care; Skilled Nursing; Intermediate Care,34,OH-ALF-40472,Ohio Department of Health,2024-07-05,79,False,True,True,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9512,-82.9988
473,Heritage House,1500 Maple Avenue,Celina,Mercer,OH,43473,(221) 405-1005,Senior Living,Assisted Living; Personal Care; Hospice Care,35,OH-ALF-40473,Ohio Department of Health,2024-08-06,80,False,False,False,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.9612,-82.9888
474,Sunrise Manor,1600 Pine Street,Celina,Mercer,OH,43474,(222) 406-1006,Senior Living,Skilled Nursing; Rehabilitation; Therapy Services,36,OH-ALF-40474,Ohio Department of Health,2024-09-07,81,True,True,False,https://www.mercer-senior-living.com,Active,Ohio Department of Health,2025-07-17,39.971199999999996,-82.9788
